,Unnamed: 0,Unnamed: 0.1,Name,Team,Pos,Nationality,CTteam,Height,Weight,MinutesPlayedPG,ptsPG,rebPG,astPG,toPG,stlPG,blkPG,pfPG,TotalGames,TotalMinutesPlayed,2ptsPercentage,3ptsPercentage,ftPercentage,fgPercentage,2ptsM_PG,2ptsA_PG,3ptsM_PG,3ptsA_PG,ftM_PG,ftA_PG,fgM_PG,fgA_PG,Totalpts,TotalREB,TotalAst,TotalTO,TotalSTL,TotalBLK,TotalPF,EFF,eFG,TS,TOV,C,F,G,pts_25min,reb_25min,ast_25min,to_25min,stl_25min,blk_25min,pf_25min,2ptsM_25min,2ptsA_25min,3ptsM_25min,3ptsA_25min,ftM_25min,ftA_25min,fgM_25min,fgA_25min,tsne_pos
137,137,137,張智峰,臺北達欣工程,G,1,0,183,93,27,11.8,3.8,2.4,1.9,1.3,0.1,2.1,305,8134,0.4874,0.349,0.7758,0.4338,2.9,6.0,1.3,3.8,2.0,2.6,4.2,9.8,3602,1168,745,576,406,44,647,11.3,0.494897959,0.5391081870000001,0.147928994,0,0,1,10.925925925925926,3.5185185185185186,2.2222222222222223,1.7592592592592593,1.2037037037037037,0.09259259259259259,1.9444444444444444,2.685185185185185,5.555555555555555,1.2037037037037037,3.5185185185185186,1.8518518518518519,2.4074074074074074,3.888888888888889,9.074074074074074,4
138,138,138,布拉,臺北達欣工程,C,0,0,226,160,36,20.7,15.9,1.5,2.6,0.3,2.4,1.5,58,2083,0.6796,0.0,0.5544,0.6749,8.4,12.4,0.0,0.1,3.8,6.8,8.4,12.5,1199,924,87,149,19,140,87,31.1,0.672,0.668086754,0.143709927,1,0,0,14.375,11.041666666666666,1.0416666666666667,1.8055555555555556,0.20833333333333334,1.6666666666666667,1.0416666666666667,5.833333333333333,8.61111111111111,0.0,0.06944444444444445,2.638888888888889,4.722222222222222,5.833333333333333,8.680555555555555,0
139,139,139,戴維斯,桃園璞園建築,C,1,1,203,100,32,17.1,12.6,1.6,2.1,1.2,2.3,2.1,157,5075,0.6052,0.2941,0.685,0.5996,7.1,11.7,0.1,0.2,2.7,3.9,7.2,12.0,2686,1986,249,330,194,364,332,26.7,0.604166667,0.62335958,0.132776935,1,0,0,13.359375000000002,9.84375,1.25,1.640625,0.9375,1.7968749999999998,1.640625,5.546875,9.140625,0.078125,0.15625,2.109375,3.046875,5.625,9.375,0
140,140,140,張文平,金門酒廠,F,1,0,196,87,19,7.3,2.6,1.0,1.2,0.8,0.3,2.2,24,466,0.4333,0.3303,0.6364,0.3669,1.1,2.5,1.5,4.5,0.6,0.9,2.6,7.0,174,63,24,28,20,6,53,6.1,0.478571429,0.493510005,0.13959981400000002,0,1,0,9.605263157894736,3.4210526315789473,1.3157894736842106,1.5789473684210527,1.0526315789473684,0.39473684210526316,2.8947368421052637,1.4473684210526319,3.289473684210526,1.9736842105263157,5.921052631578948,0.7894736842105263,1.1842105263157894,3.4210526315789473,9.210526315789474,3
141,141,141,蔡勝耀,臺灣銀行,G,1,0,185,82,4,1.1,0.8,0.1,0.4,0.0,0.0,1.1,8,29,0.4,0.0,1.0,0.4,0.5,1.3,0.0,0.0,0.1,0.1,0.5,1.3,9,6,1,3,0,0,9,0.8,0.384615385,0.40922619,0.229357798,0,0,1,6.875000000000001,5.0,0.625,2.5,0.0,0.0,6.875000000000001,3.125,8.125,0.0,0.0,0.625,0.625,3.125,8.125,5
142,142,142,簡肇熠,富邦勇士,G,1,0,180,82,6,1.6,0.6,0.4,0.8,0.3,0.0,0.8,25,156,0.2308,0.25,0.7273,0.2407,0.2,1.0,0.3,1.1,0.3,0.4,0.5,2.2,41,16,10,20,8,1,21,0.3,0.295454545,0.336700337,0.25188916899999997,0,0,1,6.666666666666667,2.5,1.6666666666666667,3.3333333333333335,1.25,0.0,3.3333333333333335,0.8333333333333334,4.166666666666667,1.25,4.583333333333334,1.25,1.6666666666666667,2.0833333333333335,9.166666666666668,2
143,143,143,陳孝榮,富邦勇士,F,1,1,197,90,12,3.4,3.4,0.5,0.7,0.7,0.3,1.8,97,1198,0.5201,0.0,0.5172,0.5201,1.5,2.8,0.0,0.0,0.5,0.9,1.5,2.8,329,329,51,71,64,32,173,5.9,0.535714286,0.531914894,0.179671458,0,1,0,7.083333333333333,7.083333333333333,1.0416666666666667,1.4583333333333333,1.4583333333333333,0.625,3.75,3.125,5.833333333333333,0.0,0.0,1.0416666666666667,1.875,3.125,5.833333333333333,1
144,144,144,包提傑,富邦勇士,F,1,0,205,100,9,2.3,2.8,0.3,0.6,0.4,0.3,1.2,46,399,0.4144,0.0,0.4,0.3966,1.0,2.4,0.0,0.1,0.3,0.8,1.0,2.5,106,128,13,27,18,12,54,3.5,0.4,0.403225806,0.173812283,0,1,0,6.388888888888888,7.777777777777778,0.8333333333333334,1.6666666666666667,1.1111111111111112,0.8333333333333334,3.3333333333333335,2.7777777777777777,6.666666666666667,0.0,0.2777777777777778,0.8333333333333334,2.2222222222222223,2.7777777777777777,6.944444444444445,1
145,145,145,吳奉晟,台灣啤酒,F,1,0,195,84,13,4.8,1.9,0.4,0.7,0.4,0.1,1.8,203,2633,0.4661,0.2557,0.6574,0.4256,1.7,3.6,0.2,0.9,0.7,1.1,1.9,4.5,965,395,72,135,73,24,358,3.9,0.444444444,0.481540931,0.123152709,0,1,0,9.23076923076923,3.6538461538461537,0.7692307692307693,1.3461538461538463,0.7692307692307693,0.19230769230769232,3.4615384615384617,3.269230769230769,6.923076923076923,0.38461538461538464,1.7307692307692308,1.3461538461538463,2.115384615384616,3.6538461538461537,8.653846153846153,1
146,146,146,歐布萊恩,富邦勇士,C,0,0,213,121,37,18.5,13.5,2.4,3.4,1.1,2.0,2.2,97,3575,0.4415,0.3041,0.6953,0.4077,5.7,13.0,1.3,4.2,3.2,4.6,7.0,17.2,1793,1312,231,330,109,190,213,22.5,0.444767442,0.48116937200000004,0.150282885,1,0,0,12.5,9.121621621621621,1.6216216216216217,2.2972972972972974,0.7432432432432433,1.3513513513513513,1.4864864864864866,3.8513513513513513,8.783783783783784,0.8783783783783784,2.8378378378378377,2.1621621621621623,3.108108108108108,4.72972972972973,11.621621621621621,0
